google/gemini-3.1-pro-preview | input: 0.000002 | output: 0.000012
anthropic/claude-sonnet-4.6 | input: 0.000003 | output: 0.000015
qwen/qwen3.5-plus-02-15 | input: 0.0000004 | output: 0.0000024
qwen/qwen3.5-397b-a17b | input: 0.00000015 | output: 0.000001
minimax/minimax-m2.5 | input: 0.0000003 | output: 0.0000011
z-ai/glm-5 | input: 0.0000003 | output: 0.00000255
qwen/qwen3-max-thinking | input: 0.0000012 | output: 0.000006
anthropic/claude-opus-4.6 | input: 0.000005 | output: 0.000025
qwen/qwen3-coder-next | input: 0.00000012 | output: 0.00000075
openrouter/free | input: 0 | output: 0
stepfun/step-3.5-flash:free | input: 0 | output: 0
stepfun/step-3.5-flash | input: 0.0000001 | output: 0.0000003
arcee-ai/trinity-large-preview:free | input: 0 | output: 0
moonshotai/kimi-k2.5 | input: 0.00000023 | output: 0.000003
upstage/solar-pro-3:free | input: 0 | output: 0
minimax/minimax-m2-her | input: 0.0000003 | output: 0.0000012
writer/palmyra-x5 | input: 0.0000006 | output: 0.000006
liquid/lfm-2.5-1.2b-thinking:free | input: 0 | output: 0
liquid/lfm-2.5-1.2b-instruct:free | input: 0 | output: 0
openai/gpt-audio | input: 0.0000025 | output: 0.00001
openai/gpt-audio-mini | input: 0.0000006 | output: 0.0000024
z-ai/glm-4.7-flash | input: 0.00000006 | output: 0.0000004
openai/gpt-5.2-codex | input: 0.00000175 | output: 0.000014
allenai/molmo-2-8b | input: 0.0000002 | output: 0.0000002
allenai/olmo-3.1-32b-instruct | input: 0.0000002 | output: 0.0000006
bytedance-seed/seed-1.6-flash | input: 0.000000075 | output: 0.0000003
bytedance-seed/seed-1.6 | input: 0.00000025 | output: 0.000002
minimax/minimax-m2.1 | input: 0.00000027 | output: 0.00000095
z-ai/glm-4.7 | input: 0.00000038 | output: 0.0000017
google/gemini-3-flash-preview | input: 0.0000005 | output: 0.000003
mistralai/mistral-small-creative | input: 0.0000001 | output: 0.0000003
allenai/olmo-3.1-32b-think | input: 0.00000015 | output: 0.0000005
xiaomi/mimo-v2-flash | input: 0.00000009 | output: 0.00000029
nvidia/nemotron-3-nano-30b-a3b:free | input: 0 | output: 0
nvidia/nemotron-3-nano-30b-a3b | input: 0.00000005 | output: 0.0000002
openai/gpt-5.2-chat | input: 0.00000175 | output: 0.000014
openai/gpt-5.2-pro | input: 0.000021 | output: 0.000168
openai/gpt-5.2 | input: 0.00000175 | output: 0.000014
mistralai/devstral-2512 | input: 0.0000004 | output: 0.000002
relace/relace-search | input: 0.000001 | output: 0.000003
z-ai/glm-4.6v | input: 0.0000003 | output: 0.0000009
nex-agi/deepseek-v3.1-nex-n1 | input: 0.00000027 | output: 0.000001
essentialai/rnj-1-instruct | input: 0.00000015 | output: 0.00000015
openrouter/bodybuilder | input: -1 | output: -1
openai/gpt-5.1-codex-max | input: 0.00000125 | output: 0.00001
amazon/nova-2-lite-v1 | input: 0.0000003 | output: 0.0000025
mistralai/ministral-14b-2512 | input: 0.0000002 | output: 0.0000002
mistralai/ministral-8b-2512 | input: 0.00000015 | output: 0.00000015
mistralai/ministral-3b-2512 | input: 0.0000001 | output: 0.0000001
mistralai/mistral-large-2512 | input: 0.0000005 | output: 0.0000015
arcee-ai/trinity-mini:free | input: 0 | output: 0
arcee-ai/trinity-mini | input: 0.000000045 | output: 0.00000015
deepseek/deepseek-v3.2-speciale | input: 0.0000004 | output: 0.0000012
deepseek/deepseek-v3.2 | input: 0.00000026 | output: 0.00000038
prime-intellect/intellect-3 | input: 0.0000002 | output: 0.0000011
anthropic/claude-opus-4.5 | input: 0.000005 | output: 0.000025
allenai/olmo-3-32b-think | input: 0.00000015 | output: 0.0000005
allenai/olmo-3-7b-instruct | input: 0.0000001 | output: 0.0000002
allenai/olmo-3-7b-think | input: 0.00000012 | output: 0.0000002
google/gemini-3-pro-image-preview | input: 0.000002 | output: 0.000012
x-ai/grok-4.1-fast | input: 0.0000002 | output: 0.0000005
google/gemini-3-pro-preview | input: 0.000002 | output: 0.000012
deepcogito/cogito-v2.1-671b | input: 0.00000125 | output: 0.00000125
openai/gpt-5.1 | input: 0.00000125 | output: 0.00001
openai/gpt-5.1-chat | input: 0.00000125 | output: 0.00001
openai/gpt-5.1-codex | input: 0.00000125 | output: 0.00001
openai/gpt-5.1-codex-mini | input: 0.00000025 | output: 0.000002
kwaipilot/kat-coder-pro | input: 0.000000207 | output: 0.000000828
moonshotai/kimi-k2-thinking | input: 0.00000047 | output: 0.000002
amazon/nova-premier-v1 | input: 0.0000025 | output: 0.0000125
perplexity/sonar-pro-search | input: 0.000003 | output: 0.000015
mistralai/voxtral-small-24b-2507 | input: 0.0000001 | output: 0.0000003
openai/gpt-oss-safeguard-20b | input: 0.000000075 | output: 0.0000003
nvidia/nemotron-nano-12b-v2-vl:free | input: 0 | output: 0
nvidia/nemotron-nano-12b-v2-vl | input: 0.00000007 | output: 0.0000002
minimax/minimax-m2 | input: 0.000000255 | output: 0.000001
qwen/qwen3-vl-32b-instruct | input: 0.000000104 | output: 0.000000416
liquid/lfm2-8b-a1b | input: 0.00000001 | output: 0.00000002
liquid/lfm-2.2-6b | input: 0.00000001 | output: 0.00000002
ibm-granite/granite-4.0-h-micro | input: 0.000000017 | output: 0.00000011
